ICD10,DESCRIPTION
G45,Transient cerebral ischaemic attacks and related syndromes
G45.0,Vertebro-basilar artery syndrome
G45.1,Carotid artery syndrome (hemispheric)
G45.2,Multiple and bilateral precerebral artery syndromes
G45.3,Amaurosis fugax
G45.4,Transient global amnesia
G45.8,Other transient cerebral ischaemic attacks and related syndromes
G45.9,"Transient cerebral ischaemic attack, unspecified"
G46,Vascular syndromes of brain in cerebrovascular diseases
G46.0,Middle cerebral artery syndrome
G46.1,Anterior cerebral artery syndrome
G46.2,Posterior cerebral artery syndrome
G46.3,Brain stem stroke syndrome
G46.4,Cerebellar stroke syndrome
G46.5,Pure motor lacunar syndrome
G46.6,Pure sensory lacunar syndrome
G46.7,Other lacunar syndromes
G46.8,Other vascular syndromes of brain in cerebrovascular diseases
G81.9,"Hemiplegia, unspecified"
I20,Angina pectoris
I20.0,Unstable angina
I20.1,Angina pectoris with documented spasm
I20.8,Other forms of angina pectoris
I20.9,"Angina pectoris, unspecified"
I21,Acute myocardial infarction
I21.0,Acute transmural myocardial infarction of anterior wall
I21.1,Acute transmural myocardial infarction of inferior wall
I21.2,Acute transmural myocardial infarction of other sites
I21.3,Acute transmural myocardial infarction of unspecified site
I21.4,Acute subendocardial myocardial infarction
I21.9,"Acute myocardial infarction, unspecified"
I22,Subsequent myocardial infarction
I22.0,Subsequent myocardial infarction of anterior wall
I22.1,Subsequent myocardial infarction of inferior wall
I22.8,Subsequent myocardial infarction of other sites
I22.9,Subsequent myocardial infarction of unspecified site
I23,Certain current complications following acute myocardial infarction
I23.0,Haemopericardium as current complication following acute myocardial infarction
I23.1,Atrial septal defect as current complication following acute myocardial infarction
I23.2,Ventricular septal defect as current complication following acute myocardial infarction
I23.3,Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction
I23.4,Rupture of chordae tendineae as current complication following acute myocardial infarction
I23.5,Rupture of papillary muscle as current complication following acute myocardial infarction
I23.6,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction"
I23.8,Other current complications following acute myocardial infarction
I24,Other acute ischaemic heart diseases
I24.0,Coronary thrombosis not resulting in myocardial infarction
I24.1,Dressler syndrome
I24.8,Other forms of acute ischaemic heart disease
I24.9,"Acute ischaemic heart disease, unspecified"
I25,Chronic ischaemic heart disease
I25.0,"Atherosclerotic cardiovascular disease, so described"
I25.1,Atherosclerotic heart disease
I25.2,Old myocardial infarction
I25.3,Aneurysm of heart
I25.4,Coronary artery aneurysm and dissection
I25.5,Ischaemic cardiomyopathy
I25.6,Silent myocardial ischaemia
I25.8,Other forms of chronic ischaemic heart disease
I25.9,"Chronic ischaemic heart disease, unspecified"
I63,Cerebral infarction
I63.0,Cerebral infarction due to thrombosis of precerebral arteries
I63.1,Cerebral infarction due to embolism of precerebral arteries
I63.2,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries
I63.3,Cerebral infarction due to thrombosis of cerebral arteries
I63.4,Cerebral infarction due to embolism of cerebral arteries
I63.5,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries
I63.6,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic"
I63.8,Other cerebral infarction
I63.9,"Cerebral infarction, unspecified"
I64,"Stroke, not specified as haemorrhage or infarction"
I65,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction"
I65.0,Occlusion and stenosis of vertebral artery
I65.1,Occlusion and stenosis of basilar artery
I65.2,Occlusion and stenosis of carotid artery
I65.3,Occlusion and stenosis of multiple and bilateral precerebral arteries
I65.8,Occlusion and stenosis of other precerebral artery
I65.9,Occlusion and stenosis of unspecified precerebral artery
I66,"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction"
I66.0,Occlusion and stenosis of middle cerebral artery
I66.1,Occlusion and stenosis of anterior cerebral artery
I66.2,Occlusion and stenosis of posterior cerebral artery
I66.3,Occlusion and stenosis of cerebellar arteries
I66.4,Occlusion and stenosis of multiple and bilateral cerebral arteries
I66.8,Occlusion and stenosis of other cerebral artery
I66.9,Occlusion and stenosis of unspecified cerebral artery
I69.3,Sequelae of cerebral infarction
I69.4,"Sequelae of stroke, not specified as haemorrhage or infarction"